Flat profile:

Each sample counts as 0.01 seconds.
 no time accumulated

  %   cumulative   self              self     total           
 time   seconds   seconds    calls  Ts/call  Ts/call  name    
  0.00      0.00     0.00    10811     0.00     0.00  std::_Deque_iterator<StackElement, StackElement&, StackElement*>::_Deque_iterator(std::_Deque_iterator<StackElement, StackElement&, StackElement*> const&)
  0.00      0.00     0.00     6787     0.00     0.00  std::_Deque_iterator<StackElement, StackElement&, StackElement*>::operator*() const
  0.00      0.00     0.00     6591     0.00     0.00  StackElement const& std::forward<StackElement const&>(std::remove_reference<StackElement const&>::type&)
  0.00      0.00     0.00     5379     0.00     0.00  std::deque<StackElement, std::allocator<StackElement> >::end()
  0.00      0.00     0.00     5224     0.00     0.00  std::__deque_buf_size(unsigned long)
  0.00      0.00     0.00     4907     0.00     0.00  bool std::operator==<char, std::char_traits<char>, std::allocator<char> >(std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const&, char const*)
  0.00      0.00     0.00     4548     0.00     0.00  std::_Deque_iterator<StackElement, StackElement&, StackElement*>::operator--()
  0.00      0.00     0.00     4548     0.00     0.00  std::deque<StackElement, std::allocator<StackElement> >::back()
  0.00      0.00     0.00     4548     0.00     0.00  std::stack<StackElement, std::deque<StackElement, std::allocator<StackElement> > >::top()
  0.00      0.00     0.00     4528     0.00     0.00  StackElement* std::__addressof<StackElement>(StackElement&)
  0.00      0.00     0.00     4090     0.00     0.00  bool __gnu_cxx::__is_null_pointer<char>(char*)
  0.00      0.00     0.00     4090     0.00     0.00  void std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >::_M_construct<char*>(char*, char*, std::forward_iterator_tag)
  0.00      0.00     0.00     4090     0.00     0.00  std::iterator_traits<char*>::difference_type std::__distance<char*>(char*, char*, std::random_access_iterator_tag)
  0.00      0.00     0.00     4090     0.00     0.00  std::iterator_traits<char*>::iterator_category std::__iterator_category<char*>(char* const&)
  0.00      0.00     0.00     4090     0.00     0.00  std::iterator_traits<char*>::difference_type std::distance<char*>(char*, char*)
  0.00      0.00     0.00     3635     0.00     0.00  StackElement::~StackElement()
  0.00      0.00     0.00     3585     0.00     0.00  StackElement::StackElement(StackElement const&)
  0.00      0.00     0.00     3309     0.00     0.00  operator new(unsigned long, void*)
  0.00      0.00     0.00     2855     0.00     0.00  bool std::operator==<StackElement, StackElement const&, StackElement const*>(std::_Deque_iterator<StackElement, StackElement const&, StackElement const*> const&, std::_Deque_iterator<StackElement, StackElement const&, StackElement const*> const&)
  0.00      0.00     0.00     2855     0.00     0.00  bool std::operator!=<StackElement, StackElement const&, StackElement const*>(std::_Deque_iterator<StackElement, StackElement const&, StackElement const*> const&, std::_Deque_iterator<StackElement, StackElement const&, StackElement const*> const&)
  0.00      0.00     0.00     2563     0.00     0.00  std::_Deque_base<StackElement, std::allocator<StackElement> >::_M_get_Tp_allocator()
  0.00      0.00     0.00     2464     0.00     0.00  std::_Deque_iterator<StackElement, StackElement const&, StackElement const*>::_Deque_iterator(std::_Deque_iterator<StackElement, StackElement const&, StackElement const*> const&)
  0.00      0.00     0.00     2417     0.00     0.00  __gnu_cxx::__aligned_membuf<StackElement>::_M_ptr()
  0.00      0.00     0.00     2417     0.00     0.00  __gnu_cxx::__aligned_membuf<StackElement>::_M_addr()
  0.00      0.00     0.00     2417     0.00     0.00  std::_List_node<StackElement>::_M_valptr()
  0.00      0.00     0.00     2289     0.00     0.00  void std::_Destroy<StackElement>(StackElement*)
  0.00      0.00     0.00     2280     0.00     0.00  std::_Deque_iterator<StackElement, StackElement&, StackElement*>::_S_buffer_size()
  0.00      0.00     0.00     2239     0.00     0.00  std::_Deque_iterator<StackElement, StackElement const&, StackElement const*>::operator*() const
  0.00      0.00     0.00     2239     0.00     0.00  std::_Deque_iterator<StackElement, StackElement const&, StackElement const*>::operator++()
  0.00      0.00     0.00     2239     0.00     0.00  std::_Deque_iterator<StackElement, StackElement&, StackElement*>::operator++()
  0.00      0.00     0.00     2239     0.00     0.00  void std::_Construct<StackElement, StackElement const&>(StackElement*, StackElement const&)
  0.00      0.00     0.00     2088     0.00     0.00  std::_Deque_base<StackElement, std::allocator<StackElement> >::_M_get_Tp_allocator() const
  0.00      0.00     0.00     1736     0.00     0.00  std::_List_iterator<StackElement>::_List_iterator(std::__detail::_List_node_base*)
  0.00      0.00     0.00     1556     0.00     0.00  std::__cxx11::_List_base<StackElement, std::allocator<StackElement> >::_M_get_Node_allocator()
  0.00      0.00     0.00     1472     0.00     0.00  __gnu_cxx::new_allocator<StackElement*>::new_allocator()
  0.00      0.00     0.00     1472     0.00     0.00  __gnu_cxx::new_allocator<StackElement*>::~new_allocator()
  0.00      0.00     0.00     1472     0.00     0.00  std::_Deque_base<StackElement, std::allocator<StackElement> >::_M_get_map_allocator() const
  0.00      0.00     0.00     1472     0.00     0.00  std::allocator<StackElement*>::allocator<StackElement>(std::allocator<StackElement> const&)
  0.00      0.00     0.00     1472     0.00     0.00  std::allocator<StackElement*>::~allocator()
  0.00      0.00     0.00     1472     0.00     0.00  std::_Deque_iterator<StackElement, StackElement&, StackElement*>::_M_set_node(StackElement**)
  0.00      0.00     0.00     1472     0.00     0.00  std::_Deque_iterator<StackElement, StackElement&, StackElement*>::_Deque_iterator()
  0.00      0.00     0.00     1352     0.00     0.00  __gnu_cxx::new_allocator<StackElement>::~new_allocator()
  0.00      0.00     0.00     1352     0.00     0.00  std::allocator<StackElement>::~allocator()
  0.00      0.00     0.00     1327     0.00     0.00  __gnu_cxx::new_allocator<StackElement>::new_allocator(__gnu_cxx::new_allocator<StackElement> const&)
  0.00      0.00     0.00     1327     0.00     0.00  std::allocator<StackElement>::allocator(std::allocator<StackElement> const&)
  0.00      0.00     0.00     1232     0.00     0.00  std::_Deque_iterator<StackElement, StackElement const&, StackElement const*>::_Deque_iterator<std::_Deque_iterator<StackElement, StackElement&, StackElement*>, void>(std::_Deque_iterator<StackElement, StackElement&, StackElement*> const&)
  0.00      0.00     0.00     1140     0.00     0.00  std::remove_reference<std::_Deque_iterator<StackElement, StackElement&, StackElement*>&>::type&& std::move<std::_Deque_iterator<StackElement, StackElement&, StackElement*>&>(std::_Deque_iterator<StackElement, StackElement&, StackElement*>&)
  0.00      0.00     0.00      958     0.00     0.00  std::__cxx11::list<StackElement, std::allocator<StackElement> >::begin()
  0.00      0.00     0.00      873     0.00     0.00  std::operator!=(std::_List_const_iterator<StackElement> const&, std::_List_const_iterator<StackElement> const&)
  0.00      0.00     0.00      861     0.00     0.00  std::_List_iterator<StackElement>::operator*() const
  0.00      0.00     0.00      861     0.00     0.00  std::__cxx11::list<StackElement, std::allocator<StackElement> >::front()
  0.00      0.00     0.00      831     0.00     0.00  std::_Deque_base<StackElement, std::allocator<StackElement> >::_M_destroy_nodes(StackElement**, StackElement**)
  0.00      0.00     0.00      831     0.00     0.00  void std::_Destroy_aux<false>::__destroy<StackElement*>(StackElement*, StackElement*)
  0.00      0.00     0.00      831     0.00     0.00  std::deque<StackElement, std::allocator<StackElement> >::_M_destroy_data(std::_Deque_iterator<StackElement, StackElement&, StackElement*>, std::_Deque_iterator<StackElement, StackElement&, StackElement*>, std::allocator<StackElement> const&)
  0.00      0.00     0.00      831     0.00     0.00  std::deque<StackElement, std::allocator<StackElement> >::_M_destroy_data_aux(std::_Deque_iterator<StackElement, StackElement&, StackElement*>, std::_Deque_iterator<StackElement, StackElement&, StackElement*>)
  0.00      0.00     0.00      831     0.00     0.00  std::deque<StackElement, std::allocator<StackElement> >::begin()
  0.00      0.00     0.00      831     0.00     0.00  void std::_Destroy<StackElement*>(StackElement*, StackElement*)
